Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Presence of peace keepers (number of troops, police, and military observers in mandate)",VC.PKP.TOTL.UN,,,,,,,,,,,,,,,,,,,,
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,4.4,4.8,,,,,,,
"Intentional homicides, male (per 100,000 male)",VC.IHR.PSRC.MA.P5,,,,,,,,,,,,,,,,,,,,
"Intentional homicides, female (per 100,000 female)",VC.IHR.PSRC.FE.P5,,,,,,,,,,,,,,,,,,,,
"Internally displaced persons, total displaced by conflict and violence (number of people)",VC.IDP.TOCV,,,,,,,,,,,,,,,,,,,,
"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,86000,79000,227000,6400,2500,,5600,19000,14000,11000,
"Internally displaced persons, new displacement associated with conflict and violence (number of cases)",VC.IDP.NWCV,,,,,,,,,,,,,,,,,,,,
Battle-related deaths (number of people),VC.BTL.DETH,943,1123,520,,37,,,25,,25,,,,,,,,25,,
Travel services (% of commercial service exports),TX.VAL.TRVL.ZS.WT,,,17.8668520209463,24.3780503823248,20.382967690634,49.8999253153001,5.04655695844734,72.3972555206494,86.4849020825207,85.6985852606939,83.9171211680542,88.2844196909636,90.5712982133442,93.7687846455282,94.5094245798125,92.5607686977239,87.6105259843542,89.4194792236393,86.1846306203231,
Transport services (% of commercial service exports),TX.VAL.TRAN.ZS.WT,6.02738700987728,6.64691358024691,8.11019997063025,7.86263843956189,5.48086656740062,10.2243540630909,1.36094251004142,5.38943260590782,4.39309993465962,5.1354815710541,4.98411137076977,3.60095013046973,2.73931670621027,1.87485159757,1.49805915759511,2.01387447558042,4.59060000389858,2.34738977127613,4.42111029265391,
High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,
High-technology exports (current US$),TX.VAL.TECH.CD,,,,,,,,,,,,,,,,,,,,
Commercial service exports (current US$),TX.VAL.SERV.CD.WT,267280000,202500000,206791017,201083912.5,322767646,176825253.59,1484233231.82,310711817.82,329450105.74,623201630.99,856877283.29,732259285.163651,780010051.961354,1315703839.48478,1681346774.64513,1256163317.86066,710892137.461013,984580377.865217,631124522.868452,
"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT,80.7617479796468,79.679012345679,74.0229480084234,67.9159621981196,74.1361657419654,39.875720621609,93.5925005315112,22.2133118734428,9.12199798281964,9.16593316825202,11.0987674611761,8.11463017856663,6.68938508044553,4.35636375690176,3.99251626259235,5.42535682669566,7.79887401174717,8.23313100508457,9.39425908702297,
Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,100,82.48958465,105.1382401,120.0353491,170.1174094,304.3681353,402.2497159,560.4873122,806.8930691,515.4387072,638.7438455,849.770231,897.5293524,861.589673,747.0003787,418.900773,348.3007196,436.9839667,531.8020679,
Merchandise exports to low- and middle-income economies within region (% of total merchandise exports),TX.VAL.MRCH.WR.ZS,0.0815409724489062,0.077393410525444,0.227705480809212,0.0988598675823865,0.112018904551894,1.47494220619242,1.32218661305472,4.858124429103,4.78360164032745,3.94065593836605,3.35329342960169,2.74022986184963,4.33750211282451,2.69551603388466,3.40911312978245,4.29632996748359,5.38907266561215,4.32078826715751,,
Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD,9434584564,8642992930,9776804195,11241035692,14511003357,23485885111,32612596493,34797422867,64134416088,39810642328,52232903555,66309723622,70684449719,67251050419,59067437933,32731420134,23867361860,30516972540,,
