metric,year,value.x,country.x,SAP.x,value.y,country.y,SAP.y
Adjusted savings: education expenditure (% of GNI),2000,2.99,Angola,Has not received IMF money,6.52,Namibia,Angola has not received IMF money
Adjusted savings: education expenditure (% of GNI),2001,2.915,Angola,Has not received IMF money,6.36,Namibia,Angola has not received IMF money
Adjusted savings: education expenditure (% of GNI),2002,2.84,Angola,Has not received IMF money,6.58,Namibia,Angola has not received IMF money
Adjusted savings: education expenditure (% of GNI),2003,2.765,Angola,Has not received IMF money,6.8,Namibia,Angola has not received IMF money
Adjusted savings: education expenditure (% of GNI),2004,2.69,Angola,Has not received IMF money,7.02,Namibia,Angola has not received IMF money
Adjusted savings: education expenditure (% of GNI),2005,2.615,Angola,Has not received IMF money,7.24,Namibia,Angola has not received IMF money
Adjusted savings: education expenditure (% of GNI),2006,2.54,Angola,Has not received IMF money,7.46,Namibia,Angola has not received IMF money
Adjusted savings: education expenditure (% of GNI),2007,2.7975,Angola,Has not received IMF money,7.68,Namibia,Angola has not received IMF money
Adjusted savings: education expenditure (% of GNI),2008,3.055,Angola,Has not received IMF money,7.9,Namibia,Angola has not received IMF money
Adjusted savings: education expenditure (% of GNI),2009,3.3125,Angola,Has received IMF money,8.12,Namibia,Angola has received IMF money
Adjusted savings: education expenditure (% of GNI),2010,3.57,Angola,Has received IMF money,8.34,Namibia,Angola has received IMF money
Adjusted savings: education expenditure (% of GNI),2011,3.57,Angola,Has received IMF money,6.974741867,Namibia,Angola has received IMF money
Adjusted savings: education expenditure (% of GNI),2012,3.57,Angola,Has received IMF money,5.609483733,Namibia,Angola has received IMF money
Adjusted savings: education expenditure (% of GNI),2013,3.57,Angola,Has received IMF money,4.2442256,Namibia,Angola has received IMF money
Adjusted savings: education expenditure (% of GNI),2014,3.57,Angola,Has received IMF money,2.878967466,Namibia,Angola has received IMF money
Adjusted savings: education expenditure (% of GNI),2015,3.57,Angola,Has received IMF money,2.878967466,Namibia,Angola has received IMF money
Adjusted savings: education expenditure (current US$),2000,222717171,Angola,Has not received IMF money,257010297.7,Namibia,Angola has not received IMF money
Adjusted savings: education expenditure (current US$),2001,214983478.1,Angola,Has not received IMF money,225503785.6,Namibia,Angola has not received IMF money
Adjusted savings: education expenditure (current US$),2002,387686651.8,Angola,Has not received IMF money,223393397.1,Namibia,Angola has not received IMF money
Adjusted savings: education expenditure (current US$),2003,444784089.1,Angola,Has not received IMF money,350895865.8,Namibia,Angola has not received IMF money
Adjusted savings: education expenditure (current US$),2004,566607736.8,Angola,Has not received IMF money,469657095.1,Namibia,Angola has not received IMF money
Adjusted savings: education expenditure (current US$),2005,861381734.7,Angola,Has not received IMF money,517580362.6,Namibia,Angola has not received IMF money
Adjusted savings: education expenditure (current US$),2006,1173559795,Angola,Has not received IMF money,591346703.1,Namibia,Angola has not received IMF money
Adjusted savings: education expenditure (current US$),2007,1613246089,Angola,Has not received IMF money,658828485,Namibia,Angola has not received IMF money
Adjusted savings: education expenditure (current US$),2008,2285783734,Angola,Has not received IMF money,659507358.8,Namibia,Angola has not received IMF money
Adjusted savings: education expenditure (current US$),2009,2102908337,Angola,Has received IMF money,707156294.8,Namibia,Angola has received IMF money
Adjusted savings: education expenditure (current US$),2010,2702941027,Angola,Has received IMF money,904838504.4,Namibia,Angola has received IMF money
Adjusted savings: education expenditure (current US$),2011,3641400000,Angola,Has received IMF money,842209481.4,Namibia,Angola has received IMF money
Adjusted savings: education expenditure (current US$),2012,4212600000,Angola,Has received IMF money,700909408.3,Namibia,Angola has received IMF money
Adjusted savings: education expenditure (current US$),2013,4533900000,Angola,Has received IMF money,536125012.7,Namibia,Angola has received IMF money
Adjusted savings: education expenditure (current US$),2014,4890900000,Angola,Has received IMF money,367343692.9,Namibia,Angola has received IMF money
Adjusted savings: education expenditure (current US$),2015,3.93E+09,Angola,Has received IMF money,333893442.1,Namibia,Angola has received IMF money
"Adolescent fertility rate (births per 1,000 women ages 15-19)",2000,196.6992,Angola,Has not received IMF money,84.8626,Namibia,Angola has not received IMF money
"Adolescent fertility rate (births per 1,000 women ages 15-19)",2001,194.7656,Angola,Has not received IMF money,83.4088,Namibia,Angola has not received IMF money
"Adolescent fertility rate (births per 1,000 women ages 15-19)",2002,192.832,Angola,Has not received IMF money,81.955,Namibia,Angola has not received IMF money
"Adolescent fertility rate (births per 1,000 women ages 15-19)",2003,190.5114,Angola,Has not received IMF money,81.7756,Namibia,Angola has not received IMF money
"Adolescent fertility rate (births per 1,000 women ages 15-19)",2004,188.1908,Angola,Has not received IMF money,81.5962,Namibia,Angola has not received IMF money
"Adolescent fertility rate (births per 1,000 women ages 15-19)",2005,185.8702,Angola,Has not received IMF money,81.4168,Namibia,Angola has not received IMF money
"Adolescent fertility rate (births per 1,000 women ages 15-19)",2006,183.5496,Angola,Has not received IMF money,81.2374,Namibia,Angola has not received IMF money
"Adolescent fertility rate (births per 1,000 women ages 15-19)",2007,181.229,Angola,Has not received IMF money,81.058,Namibia,Angola has not received IMF money
"Adolescent fertility rate (births per 1,000 women ages 15-19)",2008,178.4632,Angola,Has not received IMF money,80.6428,Namibia,Angola has not received IMF money
"Adolescent fertility rate (births per 1,000 women ages 15-19)",2009,175.6974,Angola,Has received IMF money,80.2276,Namibia,Angola has received IMF money
"Adolescent fertility rate (births per 1,000 women ages 15-19)",2010,172.9316,Angola,Has received IMF money,79.8124,Namibia,Angola has received IMF money
"Adolescent fertility rate (births per 1,000 women ages 15-19)",2011,170.1658,Angola,Has received IMF money,79.3972,Namibia,Angola has received IMF money
"Adolescent fertility rate (births per 1,000 women ages 15-19)",2012,167.4,Angola,Has received IMF money,78.982,Namibia,Angola has received IMF money
"Adolescent fertility rate (births per 1,000 women ages 15-19)",2013,164.0252,Angola,Has received IMF money,75.911,Namibia,Angola has received IMF money
"Adolescent fertility rate (births per 1,000 women ages 15-19)",2014,160.6504,Angola,Has received IMF money,72.84,Namibia,Angola has received IMF money
"Adolescent fertility rate (births per 1,000 women ages 15-19)",2015,157.2756,Angola,Has received IMF money,69.769,Namibia,Angola has received IMF money
Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),2000,384,Angola,Has not received IMF money,428,Namibia,Angola has not received IMF money
Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),2001,372,Angola,Has not received IMF money,454,Namibia,Angola has not received IMF money
Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),2002,355,Angola,Has not received IMF money,479,Namibia,Angola has not received IMF money
Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),2003,343,Angola,Has not received IMF money,500,Namibia,Angola has not received IMF money
Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),2004,334,Angola,Has not received IMF money,513,Namibia,Angola has not received IMF money
Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),2005,323,Angola,Has not received IMF money,497,Namibia,Angola has not received IMF money
Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),2006,314,Angola,Has not received IMF money,463,Namibia,Angola has not received IMF money
Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),2007,303,Angola,Has not received IMF money,409,Namibia,Angola has not received IMF money
Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),2008,292,Angola,Has not received IMF money,354,Namibia,Angola has not received IMF money
Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),2009,281,Angola,Has received IMF money,332,Namibia,Angola has received IMF money
Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),2010,270,Angola,Has received IMF money,328,Namibia,Angola has received IMF money
Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),2011,260,Angola,Has received IMF money,310,Namibia,Angola has received IMF money
Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),2012,253,Angola,Has received IMF money,293,Namibia,Angola has received IMF money
Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),2013,249,Angola,Has received IMF money,287,Namibia,Angola has received IMF money
Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),2014,244,Angola,Has received IMF money,286,Namibia,Angola has received IMF money
Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),2015,240,Angola,Has received IMF money,296,Namibia,Angola has received IMF money
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,2000,16000,Angola,Has not received IMF money,17000,Namibia,Angola has not received IMF money
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,2001,18000,Angola,Has not received IMF money,16000,Namibia,Angola has not received IMF money
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,2002,19000,Angola,Has not received IMF money,15000,Namibia,Angola has not received IMF money
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,2003,21000,Angola,Has not received IMF money,14000,Namibia,Angola has not received IMF money
