Indicator Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Proportion of population pushed below the $1.90 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure (%),,,,,,,,,,,,,,,,
Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (% of poverty line),,,,,,,,,,,,,,,,
Number of people pushed below the $1.90 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure,,,,,,,,,,,,,,,,
Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),,,,,,,,,,,,,,,,
"Incidence of tuberculosis (per 100,000 people)",711,845,846,912,935,918,892,833,798,701,649,610,552,518,480,495
"Tuberculosis case detection rate (%, all forms)",80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
Tuberculosis treatment success rate (% of new cases),56,63,66,63,46,69,75,77,81,80,85,86,85,86,87,83
"Prevalence of severe wasting, weight for height (% of children under 5)",3,,,,,,,2,,,,,,2.8,,
"Prevalence of severe wasting, weight for height, male (% of children under 5)",4,,,,,,,1.79999995231628,,,,,,4,,
"Prevalence of severe wasting, weight for height, female (% of children under 5)",2.09999990463257,,,,,,,2.29999995231628,,,,,,1.60000002384186,,
"Prevalence of wasting, weight for height (% of children under 5)",10,,,,,,,7.5,,,,,,7.1,,
"Prevalence of wasting, weight for height, male (% of children under 5)",10.8999996185303,,,,,,,7.30000019073486,,,,,,9,,
"Prevalence of wasting, weight for height, female (% of children under 5)",9.19999980926514,,,,,,,7.80000019073486,,,,,,5.19999980926514,,
"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)",,,,,,,,,,,,,,,,
"Mortality caused by road traffic injury (per 100,000 people)",,,,,,,,,,,,,,23.9,,
"Suicide mortality rate (per 100,000 population)",10.9,,,,,10.4,,,,,10.4,,,,,9
"Suicide mortality rate, male (per 100,000 male population)",17.8,,,,,16.9,,,,,16.9,,,,,14.5
"Suicide mortality rate, female (per 100,000 female population)",4.3,,,,,4.2,,,,,4.3,,,,,3.8
"Prevalence of stunting, height for age (% of children under 5)",29.5,,,,,,,29.6,,,,,,23.1,,
"Prevalence of stunting, height for age, male (% of children under 5)",30.2999992370605,,,,,,,32,,,,,,25.6000003814697,,
"Prevalence of stunting, height for age, female (% of children under 5)",28.6000003814697,,,,,,,27.1000003814697,,,,,,20.7000007629395,,
People using safely managed sanitation services (% of population),,,,,,,,,,,,,,,,
"People using safely managed sanitation services, urban (% of urban population)",,,,,,,,,,,,,,,,
"People using safely managed sanitation services, rural (% of rural population)",,,,,,,,,,,,,,,,
"Mortality rate attributed to unintentional poisoning, male (per 100,000 male population)",2.6,,,,,2.2,,,,,2,,,,,1.6
"Mortality rate attributed to unintentional poisoning, female (per 100,000 female population)",2.3,,,,,2,,,,,2,,,,,1.6
"Mortality rate attributed to unintentional poisoning (per 100,000 population)",2.5,,,,,2.1,,,,,2,,,,,1.6
"Prevalence of overweight, weight for height (% of children under 5)",3.3,,,,,,,4.6,,,,,,4.1,,
"Prevalence of overweight, weight for height, male (% of children under 5)",3.70000004768372,,,,,,,4.90000009536743,,,,,,3.90000009536743,,
"Prevalence of overweight, weight for height, female (% of children under 5)",2.90000009536743,,,,,,,4.40000009536743,,,,,,4.30000019073486,,
Diarrhea treatment (% of children under 5 who received ORS packet),61.1,,,,,,,63.1,,,,,,71.6,,
Diarrhea treatment (% of children under 5 receiving oral rehydration and continued feeding),38.8,,,,,,,47.9,,,,,,52,,
People practicing open defecation (% of population),56.0618782720907,55.8010526928807,55.3405835729437,54.8470400131038,54.3578618206503,53.8762458266122,53.4006425282967,52.9324317946228,52.4712484050104,52.0206487072052,51.5774412937921,51.1445593103478,50.706587880842,50.2790410360269,49.8620578657287,49.4573244639056
"People practicing open defecation, urban (% of urban population)",14.4104226213235,14.9217572499999,15.4330918786765,15.9444265073528,16.4557611360294,16.9670957647058,17.4784303933823,17.9897650220587,18.5010996507353,19.0124342794118,19.5237689080882,20.0351035367646,20.546438165441,21.0577727941177,21.5691074227941,22.0804420514705
"People practicing open defecation, rural (% of rural population)",76.000400819853,75.8428847500001,75.6853686801471,75.5278526102941,75.3703365404412,75.2128204705883,75.0553044007353,74.8977883308824,74.7402722610295,74.5827561911765,74.4252401213236,74.2677240514706,74.1102079816177,73.9526919117648,73.7951758419118,73.6376597720588
"Maternal mortality ratio (national estimate, per 100,000 live births)",330,,,,,,,508,,,,,,358,,
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",348,352,356,359,358,346,328,306,284,276,266,256,240,231,223,217
"Prevalence of underweight, weight for age (% of children under 5)",20.3,,,,,,,17.5,,,,,,13.2,,
"Prevalence of underweight, weight for age, male (% of children under 5)",21.2000007629395,,,,,,,18.5,,,,,,15.1000003814697,,
"Prevalence of underweight, weight for age, female (% of children under 5)",19.3999996185303,,,,,,,16.5,,,,,,11.3000001907349,,
